id;name
409820;MS INVF Emerging Markets Sm Cp Eq A
73515;Fidelity European Hi Yld A-Acc-EUR
470076;Enter Preserve A
130487;CB Save Earth Fund RC
35169;HSBC GIF Thai Equity AC
882676;Invesco Global Small Cap Eq A USD AD
1561;Nordea Nordamerika
364932;Schroder ISF Glbl MA Inc A Acc USD
330156;IKC Opportunities A
1121;Catella Hedgefond A
237986;Ålandsbanken Euro Bond B
933482;SEB Hållbar Faktor Global A
95907;ODIN Global C
73884;SEB Asset Selection C SEK - Lux
96447;DNB Fund Renewable Energy retail A
344162;Stewart Investors Worldwide Eq A Acc GBP
421196;Espiria Offensiv DC
562715;SKAGEN Focus A
2109;Skandia Kapitalmarknadsfond
2435;SKAGEN Global A
343420;Fidelity Asian Smaller Coms A-Acc-USD
248552;Aktie-Ansvar Kvanthedge
827673;Länsförsäkringar Fossilsmart
1047827;CS (Lux) Small and Mid Cap Europe Eq B
633;CB European Quality Fund A
429484;Aktie-Ansvar Saxxum Aktiv
346835;Plain Capital BronX
891318;Invesco Emerging Markets Bond A USD SD
436405;BGF Asian Growth Leaders A2 USD
414068;CS (Lux) Japan Value Equity B JPY
289918;Threadneedle(Lux) Emerging Mkt Dbt AU
524110;East Capital Global Frontier Mkts A SEK
379;Fidelity Global Technology A-Dis-EUR
1464;Handelsbanken Amerika Småbl Tema A1 SEK
283139;Cliens Sverige Fokus A
34460;Sparinvest SICAV Global Value EUR R
1044020;Quesada Vision A
2338;Lannebo Teknik
15218;Janus Henderson Latin American R$ Acc
616835;European Alliance RPM Evolving CTA ER
551035;IKC Fastighetsfond A
4766;UBS (Lux) ES USA Growth $ P-acc
953015;Proethos Fond
1038778;Nordea 1 - Renminbi Bd BP SEK
2008;Swedbank Robur Småbolagsfond Sverige
147674;Sparinvest SICAV Ethical Gl Val EUR R
476837;Ålandsbanken Premium 30 SEK
317657;Invesco Global Equity Income A USD Acc
935;SEB Östeuro Små o Medelst Bol EUR - Lux
1038774;DNB High Yield retail A SEK
880674;UB EM Frontier Real Assets A Tillväxt
289989;Threadneedle(Lux) Global Em Mkt Eqs AU
289964;Threadneedle (Lux) Glb Dyn RlRet AU USD
643536;GAM Star (Lux) - Convert Alpha D EUR Acc
226949;Nordea Stratega Ränta
316502;BGF Asia Pacific Equity Inc A2 USD
1949;AMF Aktiefond Sverige
2143;BMO Responsible Glb Em Mkts Eq A Inc USD
123990;JPM Brazil Equity A (acc) USD
538155;SEB European High Yield Fund SEK - Lux
1009577;Ålandsbanken Green Bond ESG B
426720;Fidelity Em Mkt Lcl Ccy Dbt A-Acc-USD
933615;Alcur
376791;Threadneedle (Lux) US Contr Cr Eqs AU
250171;Invesco Gold & Precious Mtls A USD Acc
12275;Janus Henderson Hrzn Japan Opps A2 USD
57892;Fidelity Glb MA Tact Mod A-Dis-EUR
801503;Danske Invest Horisont Aktie SA
70685;Fondita Nordic Micro Cap B
965037;Invesco Macro Allc Strat A EUR Acc
602916;Quesada Balanserad A
159008;Pictet-Emerging Local Ccy Dbt R USD
414056;CS (Lux) Security Equity B USD
2571;BGF Emerging Europe A2
465157;LO Funds Emerging Hi Convc USD PA
813854;Sparinvest SICAV VB EM Corp SEK R H
